,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","L1 Cache","L2 Cache","L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","PCI Express® Version","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Graphics Frequency","Graphics Model","Supported Technologies","AMD Ryzen™ AI","FIPS Certification","FIPS Certification Links"
,on,"AMD Ryzen™ 9 PRO 7940HS","AMD Ryzen™ PRO Processors","AMD Ryzen™ 9 PRO Processors with Radeon™ Graphics","Laptop, Mobile Workstation, 1L Desktop","100-000000958 (FP7r2), 100-000000967 (FP7)",,,8,16,12,4.0GHz,"Up to 5.2GHz",,8MB,16MB,No,"TSMC 4nm FinFET","FP7, FP7r2","PCIe® 4.0",,35-54W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7)",2,"2800 MHz","AMD Radeon™ 780M",,Available,"In Review","Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 9 PRO 6950HS","AMD Ryzen™ PRO Processors","AMD Ryzen™ 9 PRO 6000 Series Mobile Processors",Laptop,"FP7: 100-000000541 FP7r2: 100-000000563",,,8,16,12,3.3GHz,"Up to 4.9GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",,"PCIe® 4.0",35W,,94.99°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2400 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 9 PRO 6950H","AMD Ryzen™ PRO Processors","AMD Ryzen™ 9 PRO 6000 Series Mobile Processors",Laptop,"FP7: 100-000000541 FP7r2:100-000000563",,,8,16,12,3.3GHz,"Up to 4.9GHz",384KB,4MB,16MB,No,"TSMC 6nm FinFET",,"PCIe® 4.0",45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2400 MHz","AMD Radeon™ 680M",,,Yes,"Module Certification, Algorithm Certification"
,on,"AMD Ryzen™ 9 8945HS","AMD Ryzen™ Processors","AMD Ryzen™ 9 Processors with Radeon™ Graphics",Laptop,"100-000001319 (FP7r2), 100-000001383 (FP7), 100-000001309 (FP8)",,,8,16,12,4.0GHz,"Up to 5.2GHz",,8MB,16MB,No,"TSMC 4nm FinFET","FP7, FP7r2, FP8","PCIe® 4.0",45W,35-54W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7, FP8)",2,"2800 MHz","AMD Radeon™ 780M",,Available,,
,on,"AMD Ryzen™ 9 7945HX","AMD Ryzen™ Processors","AMD Ryzen™ 9 Processors with Radeon™ Graphics",Laptop,100-000000870,,,16,32,2,2.5GHz,"Up to 5.4GHz",1024KB,16MB,64MB,Yes,"TSMC 5nm FinFET",FL1,"PCIe® 5.0",55W,55-75W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Ryzen™ 9 7945HX3D","AMD Ryzen™ Processors","AMD Ryzen™ 9 Processors with Radeon™ Graphics",Laptop,100-000001086,,,16,32,2,2.3GHz,"Up to 5.4GHz",1024KB,16MB,128MB,,"TSMC 5nm FinFET",FL1,"PCIe® 5.0",55W,55-75W,89°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Ryzen™ 9 7940HS","AMD Ryzen™ Processors","AMD Ryzen™ 9 Processors with Radeon™ Graphics",Laptop,"100-000000954 (FP7r2) 100-000000963 (FP7) 100-000001128 (FP8)",,,8,16,12,4.0GHz,"Up to 5.2GHz",512KB,8MB,16MB,No,"TSMC 4nm FinFET","FP7, FP7r2, FP8","PCIe® 4.0",35-54W,35-54W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR5 (FP7r2), LPDDR5/x (FP7, FP8)",2,"2800 MHz","AMD Radeon™ 780M",,Available,,
,on,"AMD Ryzen™ 9 7845HX","AMD Ryzen™ Processors","AMD Ryzen™ 9 Processors with Radeon™ Graphics",Laptop,100-000000871,,,12,24,2,3.0GHz,"Up to 5.2GHz",764KB,12MB,64MB,Yes,"TSMC 5nm FinFET",FL1,"PCIe® 5.0",55W,45-75W,100°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2200 MHz","AMD Radeon™ 610M",,,,
,on,"AMD Ryzen™ 9 6980HX","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000750 FP7r2:	100-000000751",,,8,16,12,3.3GHz,"Up to 5.0GHz",512KB,4MB,16MB,Yes,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2400 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 9 6980HS","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000750 FP7r2:100-000000751",,,8,16,12,3.3GHz,"Up to 5.0GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2400 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 9 6900HX","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000544 FP7r2:	100-000000560",,,8,16,12,3.3GHz,"Up to 4.9GHz",512KB,4MB,16MB,Yes,"TSMC 6nm FinFET",FP7,"PCIe® 4.0",45W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2400 MHz","AMD Radeon™ 680M",,,,
,on,"AMD Ryzen™ 9 6900HS​","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,"FP7:100-000000544 FP7r7:100-000000560",,,8,16,12,3.3GHz,"Up to 4.9GHz",512KB,4MB,16MB,No,"TSMC 6nm FinFET",,"PCIe® 4.0",35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR5,2,"2400 MHz","AMD Radeon™ 680M",,,,
