Processor Number,Intel® Core™ Generation,Brand Identifier ,Year Launched,Lithography,# cores ,# of Performance-cores,# of Efficient-cores,# Threads,Max Turbo Frequency,Cache,Processor Base Power (previously known as TDP),Minimum Assured Power (previously known as Configurable TDP-down),Max Memory Size (dependent on memory type),Memory Types5,Processor Graphics,Graphics Max Dynamic Frequency,"Max Resolution for HDMI,
 Max Resolution for DP, 
Max Resolution for (eDP - Integrated Flat Panel)",DirectX* Support,OpenGL* Support,Intel® vPro™ Eligibility,Instruction Set Extensions
i9-13980HX,13th ,i9,2023,Intel 7,24,8,16,32,"5.60 GHz3,4",36 MB,55 W,45 W,128 GB,"Up to DDR5 5600 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.65 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-13950HX,13th ,i9,2023,Intel 7,24,8,16,32,"5.50 GHz2,4",36 MB,55 W,45 W,128 GB,"Up to DDR5 5600 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.65 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-13905H,13th ,i9,2023,Intel 7,14,6,8,20,"5.40 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-13900HX,13th ,i9,2023,Intel 7,24,8,16,32,"5.40 GHz2,4",36 MB,55 W,45 W,128 GB,"Up to DDR5 5600 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.65 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-13900HK,13th ,i9,2023,Intel 7,14,6,8,20,"5.40 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i9-13900H,13th ,i9,2023,Intel 7,14,6,8,20,"5.40 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13850HX,13th ,i7,2023,Intel 7,20,8,12,28,"5.30 GHz2,4",30 MB,55 W,45 W,128 GB,"Up to DDR5 5600 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.60 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13800H,13th ,i7,2023,Intel 7,14,6,8,20,"5.20 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-1370P,13th ,i7,2023,Intel 7,14,6,8,20,"5.20 GHz2,4",24 MB,28 W,20 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI:  4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP:  4096 x 2304 @ 120Hz
",12.1,4.6,yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13705H,13th ,i7,2023,Intel 7,14,6,8,20,"5.00 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13700HX,13th ,i7,2023,Intel 7,16,8,8,24,"5.00 GHz2,4",30 MB,55 W,45 W,128 GB,"Up to DDR5 4800 MT/s
Up to DDR4 3200 MT/s",Intel® UHD for 13th Gen,1.55 GHz,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz	",12.1,4.6,No,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
i7-13700H,13th ,i7,2023,Intel 7,14,6,8,20,"5.00 GHz2,4",24 MB,45 W,35 W,64 GB,"Up to DDR5 5200 MT/s
Up to DDR4 3200 MT/s
Up to LPDDR5/x 6400 MT/s
Up to LPDDR4x 4267 MT/s",Intel® Iris® Xe Graphics eligible,1.50 GHz,"HDMI: 4096 x 2304 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 4096 x 2304 @ 120Hz",12.1,4.6,Yes,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2"
